DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
190306679,2/11/2019,10/1/2017,1500,3,Southwest,353,901,VIOLATION OF RESTRAINING ORDER,0913 2038,25,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,901,,,,3700    CRENSHAW                     BL,,"(34.0209, -118.3406)"
190906073,2/11/2019,1/25/2017,1200,9,Van Nuys,981,354,THEFT OF IDENTITY,928,60,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,15300    DICKENS                      ST,,"(34.1526, -118.4663)"
191806301,2/11/2019,12/20/2017,1200,18,Southeast,1881,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,700 W  REDONDO BEACH                BL,,"(33.8926, -118.2874)"
191905934,2/12/2019,9/14/2014,1200,19,Mission,1924,354,THEFT OF IDENTITY,0929 1814,32,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,12100    BUCKEYE                      AV,,"(34.2892, -118.4528)"
190805842,2/12/2019,1/15/2015,1100,8,West LA,859,354,THEFT OF IDENTITY,1822 0100,25,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,8500    ALCOTT                       ST,,"(34.0524, -118.3762)"
191005933,2/12/2019,11/1/2016,1700,10,West Valley,1004,860,BATTERY WITH SEXUAL CONTACT,448,38,F,W,701,HOSPITAL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,18300    ROSCOE                       BL,,"(34.2208, -118.5317)"
191207019,2/12/2019,8/1/2016,1300,12,77th Street,1258,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0556 1251 1259,14,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,812,860,,,7400 S  BROADWAY,,"(33.9728, -118.2783)"
191306296,2/12/2019,3/14/2017,1830,13,Newton,1352,121,"RAPE, FORCIBLE",1259 1251 0522 0503 0527 0537 0369 0400 0515 0913,16,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,200 E  46TH                         ST,,"(34.002, -118.2718)"
191806386,2/12/2019,12/30/2017,1200,18,Southeast,1839,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1801 1258,11,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,2200 N  SANTA ANA                    BL,,"(33.939, -118.2314)"
192006027,2/12/2019,11/1/2017,1,20,Olympic,2058,354,THEFT OF IDENTITY,0928 0100,25,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,900 S  WESTMORELAND                 AV,,"(34.0537, -118.2891)"
190306839,2/13/2019,1/1/2013,1200,3,Southwest,374,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1251 1259 0360 0505 0500 2024,9,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JO,Juv Other,812,860,,,3800 S  VAN NESS                     AV,,"(34.0148, -118.3222)"
190505916,2/13/2019,2/9/2013,800,5,Harbor,505,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,20200    NORMANDIE                    AV,,"(33.8467, -118.2992)"
191406783,2/13/2019,3/1/2015,1200,14,Pacific,1406,354,THEFT OF IDENTITY,1822 0928,22,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,3700    MOTOR                        AV,,"(34.024, -118.409)"
191506250,2/13/2019,11/14/2016,1,15,N Hollywood,1502,354,THEFT OF IDENTITY,0377 0928,35,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,8100    GOODLAND                     AV,,"(34.2181, -118.4121)"
190206429,2/13/2019,1/1/2017,1200,2,Rampart,265,860,BATTERY WITH SEXUAL CONTACT,1259 0913 0522 2002,14,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,700 S  WESTLAKE                     AV,,"(34.0559, -118.2756)"
190307085,2/13/2019,1/1/2017,1100,3,Southwest,341,121,"RAPE, FORCIBLE",0444 0527 0537 1822 1259,15,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,COLISEUM,LA BREA,"(34.0183, -118.3556)"
190606557,2/13/2019,2/13/2017,2100,6,Hollywood,678,624,BATTERY - SIMPLE ASSAULT,0400 0429 0421 0432 0913 0443 2038,57,F,H,102,SIDEWALK,511,VERBAL THREAT,IC,Invest Cont,624,901,930,,900 N  HOBART                       BL,,"(34.0863, -118.3051)"
191705999,2/13/2019,12/12/2017,1000,17,Devonshire,1771,354,THEFT OF IDENTITY,1822 0100,34,M,O,221,PUBLIC STORAGE,,,IC,Invest Cont,354,,,,9400    DE SOTO                      AV,,"(34.2409, -118.5885)"
191806554,2/13/2019,6/20/2017,1200,18,Southeast,1821,946,OTHER MISCELLANEOUS CRIME,1501,60,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,946,,,,9500 S  HOOVER                       ST,,"(33.9501, -118.2869)"
191207126,2/14/2019,6/2/2015,1800,12,77th Street,1211,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0363,42,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,5300    6TH                          AV,,"(33.9941, -118.3236)"
190206377,2/14/2019,9/1/2017,1,2,Rampart,248,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",0533 1259 1813 1814,15,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,810,,,,300    WITMER                       ST,,"(34.0591, -118.2635)"
190206401,2/14/2019,1/1/2017,1000,2,Rampart,241,354,THEFT OF IDENTITY,0100 0928,39,F,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,300 S  LAFAYETTE PARK               PL,,"(34.0671, -118.2806)"
190406779,2/14/2019,1/5/2017,1,4,Hollenbeck,453,354,THEFT OF IDENTITY,,68,F,X,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1700 E  CESAR E CHAVEZ               AV,,"(34.0512, -118.2176)"
191006040,2/14/2019,7/1/2017,900,10,West Valley,1027,354,THEFT OF IDENTITY,0377 0928 1822,29,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,17100    VOSE                         ST,,"(34.1985, -118.5055)"
190307679,2/15/2019,1/1/2010,1400,3,Southwest,312,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0361 0519 1251 1258 2021,5,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,,,,2900 S  ORANGE                       DR,,"(34.0276, -118.3551)"
190405933,2/15/2019,9/15/2010,900,4,Hollenbeck,412,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0400 1258 1251 0360 0515 0522,4,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,815,,,2100 N  BROADWAY,,"(34.0806, -118.2176)"
191506613,2/15/2019,1/1/2010,1200,15,N Hollywood,1512,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1258 0558 0913 0522 0503,11,F,H,210,RESTAURANT/FAST FOOD,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,12700    SHERMAN                      WY,,"(34.2012, -118.4094)"
192006175,2/15/2019,12/15/2010,1700,20,Olympic,2097,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0400 1258 1251 0510 0522,4,F,H,222,LAUNDROMAT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,SANTA MONICA                 BL,NORMANDIE                    AV,"(34.0372, -118.3003)"
192006188,2/15/2019,11/1/2010,1,20,Olympic,2015,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),522,15,F,H,719,MEDICAL/DENTAL OFFICES,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,812,,,4200    BEVERLY                      BL,,"(34.0763, -118.2937)"
190806021,2/15/2019,1/2/2014,800,8,West LA,853,354,THEFT OF IDENTITY,1822 0917,64,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1500    CORINTH                      AV,,"(34.0478, -118.451)"
191306432,2/15/2019,11/6/2014,720,13,Newton,1367,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1501,15,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956,,,,1600 E  52ND                         ST,,"(33.9957, -118.2456)"
191906085,2/15/2019,1/1/2014,800,19,Mission,1906,354,THEFT OF IDENTITY,1822,36,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,13600    ELDRIDGE                     AV,,"(34.3188, -118.4257)"
191806665,2/15/2019,9/1/2015,1200,18,Southeast,1822,354,THEFT OF IDENTITY,100,22,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,100 E  CENTURY                      BL,,"(33.9456, -118.2739)"
190309044,2/15/2019,1/1/2016,1800,3,Southwest,312,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1251 1259 0509 2021,11,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,REDONDO                      BL,JEFFERSON                    BL,"(34.0255, -118.3591)"
190606705,2/15/2019,12/1/2017,1200,6,Hollywood,676,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),344,20,F,O,108,PARKING LOT,,,IC,Invest Cont,331,,,,700    VINE                         ST,,"(34.0835, -118.3266)"
190806004,2/15/2019,8/28/2017,800,8,West LA,881,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0913 1803 0344,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,668,,,,12300 W  OLYMPIC                      BL,,"(34.0319, -118.4563)"
191605671,2/15/2019,1/1/2017,1200,16,Foothill,1682,760,LEWD/LASCIVIOUS ACTS WITH CHILD,0551 1258 0522 0500 1801,9,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,760,,,,8800    RINCON                       AV,,"(34.2288, -118.3988)"
191207241,2/16/2019,1/1/2010,1,12,77th Street,1233,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0558 1258 0522 0503 0518 0305 2034,5,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,760,812,,,1600 W  59TH                         ST,,"(33.9875, -118.3046)"
191207242,2/16/2019,1/1/2010,1,12,77th Street,1233,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0558 1258 0522 0503 0444 0510 0305 0520,4,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,760,812,,,1600 W  59TH                         ST,,"(33.9875, -118.3046)"
190307019,2/16/2019,2/9/2016,1620,3,Southwest,331,354,THEFT OF IDENTITY,0928 1822,30,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,2600 S  RIMPAU                       BL,,"(34.0326, -118.3471)"
190706292,2/16/2019,2/1/2016,1300,7,Wilshire,745,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0400 0519 1300,26,M,O,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,821,,,,5500    WILSHIRE                     BL,,"(34.0623, -118.3483)"
191806681,2/16/2019,12/5/2016,1700,18,Southeast,1822,354,THEFT OF IDENTITY,0100 1822,43,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,100 E  97TH                         ST,,"(33.9483, -118.2739)"
192106103,2/16/2019,8/1/2016,1,21,Topanga,2134,354,THEFT OF IDENTITY,0377 1822,26,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,22300    SATICOY                      ST,,"(34.2083, -118.6125)"
190706290,2/16/2019,2/16/2017,1300,7,Wilshire,762,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0500 1258,6,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,815,,,1500 S  POINT VIEW                   ST,,"(34.0498, -118.3706)"
190906323,2/16/2019,2/2/2017,1600,9,Van Nuys,981,662,"BUNCO, GRAND THEFT",800,41,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662,,,,15100    GREENLEAF                    ST,,"(34.1506, -118.4622)"
191706299,2/16/2019,8/23/2017,1200,17,Devonshire,1708,354,THEFT OF IDENTITY,0930 1822,38,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,11800    GOTHIC                       AV,,"(34.2847, -118.4896)"
190107220,2/17/2019,2/19/2016,2115,1,Central,182,330,BURGLARY FROM VEHICLE,1306 0344 0321,27,M,O,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,1000 S  FLOWER                       ST,,"(34.0444, -118.2628)"
191106324,2/17/2019,1/1/2016,1000,11,Northeast,1183,354,THEFT OF IDENTITY,0928 1822,40,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,2000    BERKELEY                     AV,,"(34.083, -118.2589)"
190906354,2/17/2019,2/13/2017,300,9,Van Nuys,955,480,BIKE - STOLEN,0344 0397,28,M,O,707,GARAGE/CARPORT,,,IC,Invest Cont,480,,,,14300    CHANDLER                     BL,,"(34.1684, -118.4443)"
191106359,2/17/2019,2/15/2017,210,11,Northeast,1143,310,BURGLARY,1501,49,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,2900    SAINT GEORGE                 ST,,"(34.1097, -118.2739)"
191906539,2/18/2019,4/15/2010,1200,19,Mission,1916,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0519 0410 2034 1257 1817 0552 0500,3,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,821,,,14400    POLK                         ST,,"(34.3103, -118.4467)"
190307129,2/18/2019,10/1/2015,1,3,Southwest,315,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0515 1251 1258 0556 0507 0512,9,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,815,,,2200 W  26TH                         PL,,"(34.0318, -118.3152)"
190806170,2/18/2019,10/1/2015,5,8,West LA,822,121,"RAPE, FORCIBLE",1814 2000 0527 0416 0508 0446 0913 1243 0516,28,F,W,509,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,16300    PACIFIC COAST                HY,,"(34.043, -118.5398)"
191605710,2/18/2019,3/28/2015,1,16,Foothill,1653,354,THEFT OF IDENTITY,0928 1822,44,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,12600    DEBELL                       ST,,"(34.2472, -118.4082)"
191706165,2/18/2019,1/1/2015,1200,17,Devonshire,1753,354,THEFT OF IDENTITY,1822 0928 0917,25,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,20100    LASSEN                       ST,,"(34.2536, -118.5776)"
191706169,2/18/2019,7/1/2015,1200,17,Devonshire,1735,354,THEFT OF IDENTITY,0930 1822,27,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,17100    LUDLOW                       ST,,"(34.2709, -118.5048)"
190107260,2/18/2019,2/11/2016,1200,1,Central,153,354,THEFT OF IDENTITY,0344 0377,44,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,500 S  SPRING                       ST,,"(34.0467, -118.252)"
190107492,2/18/2019,1/1/2016,1200,1,Central,153,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),2004 1822 0910 0522 1258,5,F,B,902,MTA - RED LINE - PERSHING SQUARE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,500 S  HILL                         ST,,"(34.0488, -118.2518)"
190307175,2/19/2019,2/19/2010,1200,3,Southwest,336,815,SEXUAL PENETRATION W/FOREIGN OBJECT,1259 1251 0515 0360 2021,8,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,815,,,2100 W  30TH                         ST,,"(34.0274, -118.312)"
190307177,2/19/2019,2/19/2013,1200,3,Southwest,336,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1259 1251 0519 0360 2021 0537,8,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,821,,,2100 W  30TH                         ST,,"(34.0274, -118.312)"
192006426,2/19/2019,7/1/2013,1200,20,Olympic,2058,354,THEFT OF IDENTITY,0100 0928,19,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,2700    SAN MARINO                   ST,,"(34.055, -118.2865)"
190406148,2/19/2019,1/23/2014,1200,4,Hollenbeck,464,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0400 0503 0522 1251,12,M,H,504,OTHER RESIDENCE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,100 N  SOTO                         ST,,"(34.0445, -118.2116)"
191806878,2/19/2019,2/29/2016,1200,18,Southeast,1826,354,THEFT OF IDENTITY,701,24,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,9300    MAIE                         AV,,"(33.9524, -118.2446)"
192006398,2/19/2019,12/1/2016,1,20,Olympic,2074,121,"RAPE, FORCIBLE",0556 0500 0537,14,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,1500 S  HOBART                       BL,,"(34.0454, -118.3053)"
192106204,2/19/2019,12/1/2016,1300,21,Topanga,2185,310,BURGLARY,344,58,F,W,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,22200    VENTURA                      BL,,"(34.1688, -118.6103)"
191605874,2/19/2019,10/1/2017,1,16,Foothill,1675,354,THEFT OF IDENTITY,1822,32,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,8600    SUNLAND                      BL,,"(34.2309, -118.3727)"
192106216,2/19/2019,3/1/2017,1,21,Topanga,2134,121,"RAPE, FORCIBLE",519,25,M,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,821,,,SHOUP                        AV,SATICOY                      ST,"(34.2083, -118.6147)"
190206704,2/20/2019,12/1/2013,1,2,Rampart,215,354,THEFT OF IDENTITY,1822 0928 1501,25,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,300 N  RAMPART                      BL,,"(34.0726, -118.2749)"
191506665,2/20/2019,1/1/2014,1200,15,N Hollywood,1501,354,THEFT OF IDENTITY,377,51,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,7600    FULTON                       AV,,"(34.2084, -118.4236)"
190307181,2/20/2019,1/1/2015,1,3,Southwest,356,760,LEWD/LASCIVIOUS ACTS WITH CHILD,1258 1251 0515 0522 2024 0360,7,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JA,Juv Arrest,760,,,,1400 W  36TH                         PL,,"(34.0219, -118.3002)"
190307182,2/20/2019,1/1/2015,1,3,Southwest,356,760,LEWD/LASCIVIOUS ACTS WITH CHILD,1258 1251 0515 0522 2024 0360,9,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JA,Juv Arrest,760,,,,1400 W  36TH                         PL,,"(34.0219, -118.3002)"
190506220,2/20/2019,1/1/2015,1,5,Harbor,587,354,THEFT OF IDENTITY,0930 0928,51,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,700    HAMILTON                     PL,,"(33.7211, -118.2916)"
190606930,2/20/2019,2/19/2015,2350,6,Hollywood,631,901,VIOLATION OF RESTRAINING ORDER,2038 0421,27,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,901,,,,9000    SHOREHAM                     DR,,"(34.0915, -118.3888)"
190706474,2/20/2019,5/1/2015,1620,7,Wilshire,789,354,THEFT OF IDENTITY,0928 1822,24,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,2300    9TH                          AV,,"(34.0362, -118.3272)"
190606947,2/20/2019,3/13/2016,1200,6,Hollywood,644,354,THEFT OF IDENTITY,377,26,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1400 N  GARDNER                      ST,,"(34.0962, -118.3528)"
190706684,2/20/2019,1/1/2016,1,7,Wilshire,742,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1241 0448 1813 1310 0319 0408 1276 1821,33,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,6200    SAN VICENTE                  BL,,"(34.06, -118.3658)"
190807366,2/20/2019,6/26/2016,1910,8,West LA,837,860,BATTERY WITH SEXUAL CONTACT,0500 0503 0545,-2,F,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,500    LANDFAIR                     AV,,"(34.0686, -118.4511)"
192106237,2/20/2019,2/3/2016,1200,21,Topanga,2155,354,THEFT OF IDENTITY,0360 0929,66,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,6000    WEEPING BANYAN               LN,,"(34.1803, -118.614)"
190107448,2/20/2019,2/20/2017,1040,1,Central,182,624,BATTERY - SIMPLE ASSAULT,416,36,F,H,406,OTHER STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,500 W  OLYMPIC                      BL,,"(34.043, -118.2606)"
191106519,2/20/2019,11/12/2017,1200,11,Northeast,1135,354,THEFT OF IDENTITY,1822 1501,55,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,2200 W  AVENUE 33,,"(34.1164, -118.2332)"
190506259,2/21/2019,8/10/2013,600,5,Harbor,581,354,THEFT OF IDENTITY,0928 1822,21,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,3400    ABALONE                      AV,,"(33.7227, -118.3211)"
192106269,2/21/2019,6/25/2013,900,21,Topanga,2157,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,51,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740,,,,20700    SKOURAS                      DR,,"(34.1926, -118.5838)"
192106305,2/21/2019,11/15/2013,1200,21,Topanga,2157,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0519 1258,7,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,821,,,,20700    VANOWEN                      ST,,"(34.1938, -118.5839)"
190806348,2/21/2019,2/21/2014,930,8,West LA,887,320,"BURGLARY, ATTEMPTED",1822 1202 1609 1608,20,F,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,320,,,,9400    KINCARDINE                   AV,,"(34.0435, -118.394)"
191706318,2/21/2019,1/1/2016,1,17,Devonshire,1714,354,THEFT OF IDENTITY,1822,39,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,11900    LAUGHTON                     WY,,"(34.2899, -118.5345)"
190706543,2/21/2019,1/1/2017,5,7,Wilshire,753,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1204,82,F,B,510,NURSING/CONVALESCENT/RETIREMENT HOME,,,IC,Invest Cont,341,,,,1000 S  FAIRFAX                      AV,,"(34.0582, -118.3638)"
191307479,2/21/2019,9/1/2017,1,13,Newton,1353,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0913 0522,13,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,700 E  43RD                         ST,,"(34.0057, -118.2635)"
191506697,2/21/2019,5/12/2017,800,15,N Hollywood,1543,354,THEFT OF IDENTITY,1822 0923,36,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,5400    CORTEEN                      PL,,"(34.1685, -118.4019)"
191506703,2/21/2019,4/1/2017,1200,15,N Hollywood,1503,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1822 0536,35,M,H,109,PARK/PLAYGROUND,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,821,,,,6900    LAURELGROVE                  AV,,"(34.1958, -118.4008)"
191605876,2/21/2019,7/22/2017,1800,16,Foothill,1695,354,THEFT OF IDENTITY,1817 0930 0926,19,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,7700    CRANER                       AV,,"(34.2103, -118.3692)"
190307363,2/22/2019,11/12/2015,1500,3,Southwest,313,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,707,GARAGE/CARPORT,,,IC,Invest Cont,420,,,,2700    EDGEHILL                     DR,,"(34.0333, -118.3311)"
190706576,2/22/2019,7/23/2017,1430,7,Wilshire,776,946,OTHER MISCELLANEOUS CRIME,360,26,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,946,,,,1600    VINEYARD                     AV,,"(34.047, -118.337)"
