APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Management Contact Phone,Property on Map,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
5589025014,10/31/2018,Single Family,1907 N BERENDO ST,LOS ANGELES,CA,90027,4,"Del Toro Loan Servicing, Inc.",LaTonya Coleman,619-474-5400,LRES Corp.,Kathy Golden,765   The City Drive South  300 Orange CA 92868,800-434-6125,"1907 N BERENDO ST
LOS ANGELES, CA 90027
(34.105526, -118.293987)",23445,402,1326,16,7,3
4247007023,01/01/2018,Single Family,3259 S ROSEWOOD AVE,LOS ANGELES,CA,90066,11,"Deutsche Bank National Trust, c/o Select Portfolio Servicing",Deutsche Bank National Trust Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"3259 S ROSEWOOD AVE
LOS ANGELES, CA 90066
(34.010811, -118.450469)",24031,891,855,10,10,27
4326003053,11/02/2018,Single Family,10550 W WILSHIRE BLVD 1-50,,CA,,5,Val-Chris Investment,Chris Boulter,949-252-8020,Val-Chris Investments,Chris Boulter,2601   Main ST  Irvine CA 92614,949-252-8020,"10550 W WILSHIRE BLVD 1-50, CA
(35.551087, -97.708747)",27929,,,,,
4494006021,03/15/2018,Single Family,960 N TIGERTAIL RD,LOS ANGELES,CA,90049,11,Specialized Loan Servicing LLC,n/a n/a,800-842-7654,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"960 N TIGERTAIL RD
LOS ANGELES, CA 90049
(34.07724, -118.484882)",23680,830,780,,10,
2646025015,10/19/2018,Single Family,13307 W TERRA BELLA ST,LOS ANGELES,CA,91331,7,Specialized Loan Servicing LLC on behalf of beneficiary,Douglas Randall,720-563-8186,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,"13307 W TERRA BELLA ST
LOS ANGELES, CA 91331
(34.254994, -118.422825)",18907,28,960,,1,11
7346002027,02/12/2018,Single Family,1541 W 218TH ST,LOS ANGELES,CA,90501,15,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,800-468-1743,"1541 W 218TH ST
LOS ANGELES, CA 90501
(33.830274, -118.305279)",25715,945,1320,,15,55
2206019017,11/19/2018,Single Family,7543 N COLLETT AVE,VAN NUYS,CA,91406,6,Carrington Mortgage Services,Marshayla Johnson,866-563-1100,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801,"7543 N COLLETT AVE
VAN NUYS, CA 91406
(34.207905, -118.482506)",19734,221,261,,3,61
5462006015,01/03/2018,Single Family,3560 E LAVELL DR,LOS ANGELES,CA,90065,1,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,800-468-1743,"3560 E LAVELL DR
LOS ANGELES, CA 90065
(34.110471, -118.228746)",24030,387,1431,13,11,56
5512009019,01/05/2018,Single Family,116 S GARDNER ST,LOS ANGELES,CA,90036,5,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,800-468-1743,"116 S GARDNER ST
LOS ANGELES, CA 90036
(34.072965, -118.353205)",23667,626,1260,,7,26
7372007034,11/04/2018,Single Family,1715 W 241ST ST,LOS ANGELES,CA,90717,15,WILSHIRE FINANCIAL NETWORK,ANDY ZUBIA,310-490-1369,WILSHIRE FINANCIAL LOAN SERVICE,ANDY ZUBIA,468  N CAMDEN DR 200 BEVERLY HILLS CA 90210,310-890-6058,"1715 W 241ST ST
LOS ANGELES, CA 90717
(33.806423, -118.308226)",3335,948,1112,,15,29
7422001011,12/18/2018,Single Family,129 E R ST,LOS ANGELES,CA,90744,15,Mr. Cooper,Paula Acosta,800-468-1743,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,800-468-1743,"129 E R ST
LOS ANGELES, CA 90744
(33.797533, -118.262711)",3350,952,626,,15,15
2175019010,12/24/2018,Single Family,4880 N WINNETKA AVE,LOS ANGELES,CA,91364,3,Freedom Mortgage,PROPERTY PRESERVATION DEPT,317-537-3748,SAFEGUARD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"4880 N WINNETKA AVE
LOS ANGELES, CA 91364
(34.159674, -118.569777)",19346,313,656,,4,49
2338006034,11/29/2018,Single Family,6124 N HAZELHURST PL,LOS ANGELES,CA,91606,2,Mr. Cooper,Paula Acosta,800-468-1743,"AFAS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,909-289-1453,"6124 N HAZELHURST PL
LOS ANGELES, CA 91606
(34.181737, -118.386983)",8889,195,546,,5,13
7351013015,12/12/2018,Multi-Family,1502 W 206TH ST,TORRANCE,CA,90501,15,Mr. Cooper,Paula Acosta,800-468-1743,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,800-468-1743,"1502 W 206TH ST
TORRANCE, CA 90501
(33.843831, -118.304186)",25715,944,825,,15,55
2566008029,10/11/2018,Single Family,10609 N COMMERCE AVE,LOS ANGELES,CA,91042,7,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,SO CAL INSPECTORS INC,Suzanne Phillips,9525   Stewart and Gray RD  Downey CA 90241,760-591-9244,"10609 N COMMERCE AVE
LOS ANGELES, CA 91042
(34.261429, -118.288497)",3222,1,533,,1,7
2321026010,01/04/2018,Multi-Family,6805 N VANTAGE AVE,NORTH HOLLYWOOD,CA,91605,2,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Remedy Field Services Inc,Agnes Mella,15615   Alton PKWY  IRVINE CA 92618,888-540-4490,"6805 N VANTAGE AVE
NORTH HOLLYWOOD, CA 91605
(34.1942, -118.397622)",8888,178,495,,5,14
7420012008,10/23/2018,Single Family,1240 N RAVENNA AVE,LOS ANGELES,CA,90744,15,Loancare,nosha Trotman,714-848-7920,Bron,Jessica Hamlet,41951   Remington AVE 150 Temecula CA 92590,951-291-3285,"1240 N RAVENNA AVE
LOS ANGELES, CA 90744
(33.787835, -118.268817)",3350,959,641,,15,15
7451014010,11/04/2018,Single Family,835 W 2ND ST,SAN PEDRO,CA,90731,15,WILSHIRE FINANCIAL NETWORK,ANDY ZUBIA,310-490-1369,WILSHIRE FINANCIAL LOAN SERVICE,ANDY ZUBIA,468  N CAMDEN DR 200 BEVERLY HILLS CA 90210,310-890-6058,"835 W 2ND ST
SAN PEDRO, CA 90731
(33.742411, -118.295353)",3342,975,1205,,15,36
2504022097,10/16/2018,Single Family,14039 W ASTORIA ST,LOS ANGELES,CA,91342,7,Federal Home Loan Mortgage Corp,Freddie Mac,972-395-4110,SAFEGUARD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"14039 W ASTORIA ST
LOS ANGELES, CA 91342
(34.31131, -118.439)",18912,46,1307,,1,47
5054010013,12/13/2018,Multi-Family,2658 S KENWOOD AVE,LOS ANGELES,CA,90007,8,DITECH FINANCIAL LLC,TEMPE PROPERTIES,480-333-6059,Edward Zubia,Edward Zubia,3540   Wilshire  1109 Los Angeles CA 90010,213-804-7437,"2658 S KENWOOD AVE
LOS ANGELES, CA 90007
(34.031649, -118.29915)",22724,689,654,7,14,32
2170008026,02/07/2018,Single Family,22126 W DE LA OSA ST,LOS ANGELES,CA,91364,3,"US BANK NA, c/o Select Portfolio Servicing",US BANK NA Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"22126 W DE LA OSA ST
LOS ANGELES, CA 91364
(34.159381, -118.608769)",19346,309,1487,,4,49
2175025020,11/29/2018,Single Family,4527 N WINNETKA AVE,LOS ANGELES,CA,91364,3,Mr. Cooper,Paula Acosta,800-468-1743,"AFAS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,909-289-1453,"4527 N WINNETKA AVE
LOS ANGELES, CA 91364
(34.154005, -118.570366)",19346,313,656,,4,49
5561024006,11/15/2018,Single Family,1424 N TANAGER WAY,HOLLYWOOD,CA,90069,4,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801,"1424 N TANAGER WAY
HOLLYWOOD, CA 90069
(34.097378, -118.385628)",24034,459,729,,7,81
2555014023,12/07/2018,Single Family,10834 N PARR AVE,LOS ANGELES,CA,91040,7,Franklin Credit Management Corp,DK Knight,201-604-1800,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,"10834 N PARR AVE
LOS ANGELES, CA 91040
(34.266075, -118.31313)",3221,12,531,,1,7
2602013016,10/23/2018,Single Family,17249 W TENNYSON PL,LOS ANGELES,CA,91344,12,"Aspen Properties Group, LLC",Stephen Gryglewski,800-326-5799,"U.S. Best Repair Service, Inc.",Michelle Parsi,2004   McGaw AVE  Irvine CA 92614,714-599-7730,"17249 W TENNYSON PL
LOS ANGELES, CA 91344
(34.303468, -118.509903)",19329,50,1406,,2,78
5109020022,10/26/2018,Single Family,481 E PARK FRONT WALK,LOS ANGELES,CA,90011,9,Celink,Cole Bloomfield,866-654-0020,Empress Mortgage Services,Elizabeth Trujillo,11030   Arrow Route  102 Rancho Cucamoga CA 91730,909-481-1100,"481 E PARK FRONT WALK
LOS ANGELES, CA 90011
(33.99839, -118.266763)",22727,724,895,7,13,
5003026028,08/29/2018,Multi-Family,1513 W 57TH ST,LOS ANGELES,CA,90062,8,Deutsche Bank National Trust c/o Select Portfolio Servicing,SELECT Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   Whilshire BLVD 1109 Los Angeles CA 90010,213-804-7437,"1513 W 57TH ST
LOS ANGELES, CA 90062
(33.990587, -118.302683)",24027,744,1051,7,14,35
4103019001,12/13/2018,Single Family,5337 W GLASGOW CT,LOS ANGELES,CA,90045,11,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"5337 W GLASGOW CT
LOS ANGELES, CA 90045
(33.971837, -118.373483)",23676,926,1064,10,10,16
5121012022,01/01/2018,Multi-Family,3642 1/2 S ADAIR ST,LOS ANGELES,CA,90011,9,Deutsche Bank c/o Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   Wilshire  1109 Los Angeles CA 90010,213-383-2097,"3642 1/2 S ADAIR ST
LOS ANGELES, CA 90011
(34.013025, -118.267919)",22727,714,696,7,13,6
7420023013,11/27/2018,Single Family,1053 N MARINE AVE,LOS ANGELES,CA,90744,15,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,"1053 N MARINE AVE
LOS ANGELES, CA 90744
(33.784383, -118.264094)",3350,960,1200,,15,15
5480012027,01/01/2018,Single Family,908 N CRESTWOOD TER,LOS ANGELES,CA,90042,14,"U.S. Bank N.A., c/o Select Portfolio Servicing",Edward Zubia,213-383-2097,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"908 N CRESTWOOD TER
LOS ANGELES, CA 90042
(34.130442, -118.19062)",23673,364,572,,9,60
2175033008,01/01/2018,Single Family,5036 N SHIRLEY AVE,LOS ANGELES,CA,91356,3,"U.S. Bank N.A., c/o Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,"5036 N SHIRLEY AVE
LOS ANGELES, CA 91356
(34.162156, -118.55699)",19339,330,659,,4,10
5682013003,11/15/2018,Single Family,5255 N LIVE OAK VIEW AVE,LOS ANGELES,CA,90041,14,2005 Residential Trust 3-1,Nick Flaherty,917-239-0864,FCI Lender Services,Robert Yanes,8180  E Kaiser Blvd  Anaheim Hills CA 92808,800-931-2424,"5255 N LIVE OAK VIEW AVE
LOS ANGELES, CA 90041
(34.143199, -118.221116)",23672,354,568,,9,60
2234013015,01/10/2018,Single Family,6464 N FIRMAMENT AVE,VAN NUYS,CA,91406,6,Nationstar Mortgage,Code Violations,888-456-0714,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,800-468-1743,"6464 N FIRMAMENT AVE
VAN NUYS, CA 91406
(34.188614, -118.471859)",19734,227,560,,3,18
5144027182,10/29/2018,Single Family,835 S HOPE ST,LOS ANGELES,CA,90017,14,BBV Profit Sharing Plan,William Stuart,650-316-8970,Harris L. Cohen APC,Harris Cohen,5305   Andasol AVE  Encino CA 91316,818-429-3300,"835 S HOPE ST
LOS ANGELES, CA 90017
(34.045908, -118.259639)",23078,546,1050,,9,76
2747014120,01/01/2018,Single Family,10030  OWENSMOUTH,LOS ANGELES,CA,91311,12,"Deutsche Bank National Trust, c/o Select Portfolio Servicing",NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-387-2097,"10030 OWENSMOUTH
LOS ANGELES, CA 91311
(34.252216, -118.601664)",4284,90,231,,2,43
2727015032,01/11/2018,Single Family,22055 W BALLINGER ST,LOS ANGELES,CA,91311,12,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,WRI Property Management,Tannis Stoops,14726   Ramona AVE W8 Chino CA 91710,404-655-9334,"22055 W BALLINGER ST
LOS ANGELES, CA 91311
(34.243259, -118.607986)",4284,96,1418,53,2,43
5109025017,10/03/2018,Single Family,5220 S SAN PEDRO ST,LOS ANGELES,CA,90011,9,M&T Bank,Eric Moore,877-338-3791,MSI,Property Preservation,500   Grapeview HWY  Hurst TX 76054,800-346-2432,"5220 S SAN PEDRO ST
LOS ANGELES, CA 90011
(33.994637, -118.270137)",22727,725,895,7,13,
2506024028,01/01/2018,Single Family,12920 N WOODCOCK AVE,LOS ANGELES,CA,91342,7,Bank of New York Mellon c/o Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"12920 N WOODCOCK AVE
LOS ANGELES, CA 91342
(34.30473, -118.45403)",18912,49,222,,1,47
6023007013,10/04/2018,Multi-Family,748 E 73RD ST,LOS ANGELES,CA,90001,9,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"748 E 73RD ST
LOS ANGELES, CA 90001
(33.973872, -118.261216)",22350,790,997,7,13,46
5018017019,11/12/2018,Multi-Family,845 1/2 W 50TH PL,LOS ANGELES,CA,90037,9,Fay Servicing,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,"845 1/2 W 50TH PL
LOS ANGELES, CA 90037
(33.996985, -118.288793)",23668,738,989,7,13,2
2629028026,12/26/2018,Single Family,9158 N MOREHART AVE,LOS ANGELES,CA,91331,6,bayview,Willie Walton,714-848-7920,Safeguard,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"9158 N MOREHART AVE
LOS ANGELES, CA 91331
(34.23619, -118.409663)",18907,156,1058,,3,41
4007013007,10/24/2018,Single Family,6302 S 6TH AVE,LOS ANGELES,CA,90043,8,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,Edward Zubia,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,"6302 S 6TH AVE
LOS ANGELES, CA 90043
(33.982851, -118.323539)",23674,754,1506,7,14,24
6037005024,12/13/2018,Single Family,8901 S LA SALLE AVE,LOS ANGELES,CA,90047,8,Mr. Cooper,Paula Acosta,800-468-1743,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,800-468-1743,"8901 S LA SALLE AVE
LOS ANGELES, CA 90047
(33.956187, -118.305738)",23678,784,1167,7,14,20
5515001007,11/29/2018,Single Family,252 S JUNE ST,LOS ANGELES,CA,90004,4,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"252 S JUNE ST
LOS ANGELES, CA 90004
(34.069394, -118.334776)",22721,577,872,,7,86
2779002060,10/01/2018,Single Family,21039 W GRESHAM ST,LOS ANGELES,CA,91304,3,NATIONSTAR MORTGAGE,CODE COMPLIANCE,888-480-2432,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"21039 W GRESHAM ST
LOS ANGELES, CA 91304
(34.230623, -118.591524)",4279,102,1541,,4,37
6012009015,11/23/2018,Single Family,200 W 69TH ST,LOS ANGELES,CA,90003,9,Celink,Daniel Stack,866-727-4303,Red A Ranch,Robert Buchanan,132  N Pine ST A San Gabriel CA 91775,626-287-4431,"200 W 69TH ST
LOS ANGELES, CA 90003
(33.977388, -118.276294)",22352,787,995,7,13,46
5040019030,01/01/2018,Single Family,1229 W 35TH ST,LOS ANGELES,CA,90007,8,Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   Whilshire BLVD 1109 Los Angeles CA 90010,213-804-7437,"1229 W 35TH ST
LOS ANGELES, CA 90007
(34.024144, -118.295442)",22724,691,913,7,14,32
2660016015,01/17/2018,Multi-Family,15260 W DEVONSHIRE ST,LOS ANGELES,CA,91345,7,Specialized Loan Servicing LLC,n/a n/a,800-842-7654,NULL,NULL,,NULL,"15260 W DEVONSHIRE ST
LOS ANGELES, CA 91345
(34.257274, -118.464312)",19330,74,398,,1,4
5037012028,01/01/2018,Single Family,1159 W ROLLAND CURTIS PL,LOS ANGELES,CA,90037,8,"U.S. Bank N.A., c/o Select Portfolio Servicing",Edward Zubia,213-383-2097,Edward Zubia,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,"1159 W ROLLAND CURTIS PL
LOS ANGELES, CA 90037
(34.016418, -118.296284)",23668,728,1151,7,14,32
7414026023,10/23/2018,Single Family,1037 W SANDISON ST,LOS ANGELES,CA,90744,15,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,"1037 W SANDISON ST
LOS ANGELES, CA 90744
(33.792318, -118.276424)",3350,955,1199,,15,15
6050006023,07/16/2018,Single Family,831 E 94TH ST,LOS ANGELES,CA,90002,9,United Shore Financial Services,Alton Payton,609-883-3900,SAFEGUARD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"831 E 94TH ST
LOS ANGELES, CA 90002
(33.951132, -118.259707)",22351,806,1174,7,13,45
2304010002,01/16/2018,Single Family,13051 W WILLARD ST,LOS ANGELES,CA,91605,2,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,800-468-1743,"13051 W WILLARD ST
LOS ANGELES, CA 91605
(34.218228, -118.418198)",8888,163,464,,5,71
6067001015,10/12/2018,Single Family,1926 E 115TH ST,LOS ANGELES,CA,90059,15,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801,"1926 E 115TH ST
LOS ANGELES, CA 90059
(33.930522, -118.23808)",24354,824,1185,7,15,40
2130022030,01/01/2018,Single Family,7113 N TUNNEY AVE,LOS ANGELES,CA,91335,3,"U.S. Bank N.A., c/o Select Portfolio Servicing",Edward Zubia,213-383-2097,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"7113 N TUNNEY AVE
LOS ANGELES, CA 91335
(34.199673, -118.556997)",18909,269,1466,,4,12
2651019014,01/01/2018,Single Family,15033 W BROADMOOR ST,LOS ANGELES,CA,91343,6,Bank of New York Mellon c/o Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"15033 W BROADMOOR ST
LOS ANGELES, CA 91343
(34.233649, -118.460031)",18914,125,667,,3,73
2328030001,01/03/2018,Single Family,13342 W BARBARA ANN ST,LOS ANGELES,CA,91605,2,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,"13342 W BARBARA ANN ST
LOS ANGELES, CA 91605
(34.200263, -118.424104)",8888,181,286,,5,71
5027004020,10/18/2018,Single Family,4530 W DON VALDES DR,LOS ANGELES,CA,90008,8,CitiMortgage,Erin Theobald,877-290-3997,Law Offices of Les Zieve,Reyna Ailima,18377   BEACH BLVD 210 HUNTINGTON BEACH CA 92648,714-848-7920,"4530 W DON VALDES DR
LOS ANGELES, CA 90008
(34.004239, -118.353345)",22725,765,1027,7,14,54
2163025006,05/25/2018,Single Family,19061 W WELLS DR,LOS ANGELES,CA,91356,3,Shellpoint Mortgage,Eric Moore,877-338-3791,"A2Z Homes, INC.",Travis Azevedo,13196   Wheeler AVE  Sylmar CA 91342,949-734-9606,"19061 W WELLS DR
LOS ANGELES, CA 91356
(34.163464, -118.548673)",19339,329,1557,,4,10
2177040008,05/10/2018,Single Family,3849 N WINFORD DR,LOS ANGELES,CA,91356,3,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,800-468-1743,"3849 N WINFORD DR
LOS ANGELES, CA 91356
(34.140579, -118.549096)",19339,330,1257,,4,10
2582008004,01/01/2018,Single Family,13760 W ALMETZ ST,LOS ANGELES,CA,91342,7,"Wilmington Trust, NA, successor trustee to Citibank, c/o Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"13760 W ALMETZ ST
LOS ANGELES, CA 91342
(34.32731, -118.4337)",18912,37,1279,,1,47
5518004018,12/17/2018,Multi-Family,216 N NORMANDIE AVE,LOS ANGELES,CA,90004,13,Fay Servicing LLC - Eric Moore,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,"216 N NORMANDIE AVE
LOS ANGELES, CA 90004
(34.075873, -118.300407)",22721,581,878,,12,89
5049003019,01/01/2018,Multi-Family,2637 S WEST VIEW ST,LOS ANGELES,CA,90016,10,"Wells Fargo Bank, NA, c/o Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"2637 S WEST VIEW ST
LOS ANGELES, CA 90016
(34.031455, -118.349245)",23077,664,924,7,12,17
6048019008,10/03/2018,Multi-Family,9571 S GRANDEE AVE,LOS ANGELES,CA,90002,15,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801,"9571 S GRANDEE AVE
LOS ANGELES, CA 90002
(33.949445, -118.243467)",22351,820,1178,7,15,40
5032013045,01/01/2018,Single Family,4007 S ABOURNE RD,LOS ANGELES,CA,90008,10,"Wells Fargo Bank, NA C/O Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"4007 S ABOURNE RD
LOS ANGELES, CA 90008
(34.012181, -118.343625)",22725,761,1032,7,12,54
2695018002,12/07/2018,Single Family,17145 W DEVONSHIRE ST,LOS ANGELES,CA,91325,12,Bayview Loan Servicing,Miles Preservation LLC,951-808-3346,Miles Preservation LLC,Miles Preservation,27226   Via Industria   Temecula CA 92590,951-808-3346,"17145 W DEVONSHIRE ST
LOS ANGELES, CA 91325
(34.257544, -118.507223)",18514,84,1420,,2,87
6042013021,10/15/2018,Single Family,629 E 92ND ST,LOS ANGELES,CA,90002,9,Celink,Daniel Stack,866-727-4303,Carlos Sims,Carlos Sims,11820   Cherrylee DR  El Monte CA 91732,800-639-2151,"629 E 92ND ST
LOS ANGELES, CA 90002
(33.952897, -118.264114)",22351,799,1173,7,13,45
2171009050,11/05/2018,Single Family,4549 N DON PIO DR,LOS ANGELES,CA,91364,3,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"4549 N DON PIO DR
LOS ANGELES, CA 91364
(34.151092, -118.602597)",19346,314,653,46,4,49
2316011037,01/08/2018,Single Family,7503 N CAMELLIA AVE,LOS ANGELES,CA,91605,2,Shellpoint Mortgage Servicing,Tracy Hall,864-312-4380,"Cyprexx Services, LLC - Jefferson",Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,877-339-8202,"7503 N CAMELLIA AVE
LOS ANGELES, CA 91605
(34.206791, -118.382338)",8888,169,478,,5,14
4360004175,01/08/2018,Single Family,10751 S WILSHIRE BLVD,LOS ANGELES,CA,90024,5,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,OGIWA INCORPORATED,Olatunji Giwa,1028  N Lake AVE 208 PASADENA CA 91104,626-787-1471,"10751 S WILSHIRE BLVD
LOS ANGELES, CA 90024
(34.060287, -118.43824)",23442,847,1254,9,6,72
2504013038,05/25/2018,Single Family,14389 W CYRENE PL,LOS ANGELES,CA,91342,7,Shellpoint Mortgage,Eric Moore,877-338-3791,Safeguard Properties Bron Inc,Eric Moore,27720   Jefferson AVE 210 Temecula CA 92590,800-852-8306,"14389 W CYRENE PL
LOS ANGELES, CA 91342
(34.313239, -118.447056)",18912,44,1529,,1,47
2146026027,06/15/2018,Single Family,21730  MARYLEE,WOODLAND HILLS,CA,91367,3,NATIONSTAR MORTGAGE,CODE COMPLIANCE,888-480-2432,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,800-468-1743,"21730 MARYLEE
WOODLAND HILLS, CA 91367
(34.175321, -118.60212)",19347,304,1274,2,4,49
2502016014,10/12/2018,Single Family,13751 N SPROULE AVE,LOS ANGELES,CA,91342,7,U.S. Bank NA As Trustee for LSF9 Master Participation Trust,U.S. Bank NA as Trustee LSF9,214-874-4174,WRI Property Management,Tannis Stoops,14726   Ramona AVE  Chino CA 91710,404-655-9334,"13751 N SPROULE AVE
LOS ANGELES, CA 91342
(34.321673, -118.457458)",18912,45,291,,1,47
